id;name;host_id;neighbourhood_group;latitude;longitude;is_entire_home;price;number_of_reviews;last_review
18732990;Brand New City Center, parking, AC, wifi, pool&gym;130291436;Casco Antiguo;37.39175;-5.9922;true;95;129;08/12/2020
18741217;Beautiful & recently renovated 2 BD apartment in Prime location. Conde de Ibarra III;92573910;Casco Antiguo;37.38885;-5.98879;true;78;57;07/03/2020
18753848;Beautiful Brigth in the cathedraVFT\SE\02139;130473261;Casco Antiguo;37.38929;-5.99312;true;150;137;18/10/2020
18781863;PRIVATE GARAGE FREE,APTO. JUST 1 MIN. TO CATHEDRAL;9239534;Casco Antiguo;37.38818;-5.99229;true;73;159;26/09/2020
18809369;Bright, Refined Apartment with a Private Roof Terrace;57717385;Casco Antiguo;37.38899;-5.99597;true;116;108;19/02/2021
18815340;Spacious apt. 10 min from the Cathedral!  S100;2950570;Casco Antiguo;37.39198;-5.98633;true;113;15;13/02/2020
18830135;Vintage Apartment with Terrazze;123493257;Casco Antiguo;37.3923;-5.98867;true;85;189;04/12/2020
18848027;Apartamento a 50 metros de Plaza de Santa Cruz;127230553;Casco Antiguo;37.3853;-5.98847;true;41;147;08/07/2020
18862077;LUXURY APARTMENT IN THE CITY CENTER OF SEVILLE. II;131415864;Casco Antiguo;37.39391;-5.99489;true;68;0;
18883773;LUXURY APARTMENT IN THE CITY CENTER OF SEVILLE.;131415864;Casco Antiguo;37.39468;-5.99638;true;68;2;09/12/2019
18886917;Amazing studio at the hearth of Seville;51048225;Casco Antiguo;37.39781;-5.99876;true;39;61;08/06/2020
18889915;Bright & design en el corazón de Sevilla;125210486;Casco Antiguo;37.38277;-5.99478;true;225;92;20/12/2020
18890589;Apartamento económico en el centro de Sevilla;131633664;Nervión;37.39015;-5.98367;true;42;107;12/10/2020
18901829;Antón. 3 bedrooms, 3 bathrooms, terrace;89331773;Casco Antiguo;37.38793;-5.99927;true;114;31;23/03/2020
18903329;Wonderful location in La Magdalena Square 2 BD apartment with great views. San Pablo V;92573910;Casco Antiguo;37.39057;-5.99751;true;174;6;19/02/2020
